# {"t_start": 1572638132.380868, "env_id": "AntBulletEnv-v0"} 
r,l,t
554.085585,1000,140387.451723
453.758678,1000,140390.700236
452.839523,1000,140393.988484
474.851738,1000,140397.231744
265.259496,564,140399.093796
373.776506,664,140401.499259
509.349604,1000,140404.853648
447.73654,695,140407.12733
506.112427,1000,140410.560085
559.540058,1000,140413.83457
537.235338,1000,140417.252339
120.372272,161,140417.781234
490.756917,1000,140421.263663
456.487511,1000,140424.379511
465.754246,1000,140427.662672
401.670101,1000,140431.082366
530.357274,1000,140434.400212
524.709124,1000,140437.778828
489.974188,1000,140441.022453
381.174574,607,140443.088891
521.424423,1000,140446.298153
511.914325,1000,140449.664383
504.286237,1000,140453.030151
464.469722,1000,140456.498449
589.894263,1000,140459.86629
466.967524,1000,140463.304487
484.163672,1000,140466.684277
513.572739,1000,140469.964301
496.12453,1000,140473.299499
495.613603,1000,140476.519505
492.287105,1000,140479.808177
481.104262,1000,140483.23325
472.263075,1000,140486.410922
502.617302,1000,140489.848301
419.153649,1000,140493.207917
149.857271,239,140493.987171
460.083545,1000,140497.230079
452.622645,1000,140500.41348
494.331158,1000,140503.726147
557.528401,1000,140506.950753
556.090136,1000,140510.193813
458.855841,1000,140513.438621
480.373877,1000,140516.89799
463.55974,1000,140520.260226
555.812366,1000,140523.685012
487.936551,1000,140526.803307
380.270586,1000,140530.07446
424.116975,1000,140533.208752
567.720552,1000,140536.719455
476.838973,1000,140540.005837
491.835722,1000,140543.270705
543.12487,1000,140546.773665
354.082727,593,140548.766654
303.181215,566,140550.869727
454.22153,1000,140554.268739
526.60766,1000,140557.559045
513.509564,1000,140560.945128
428.362374,1000,140564.250805
489.371748,1000,140567.617042
512.162542,1000,140570.568759
614.7393,1000,140574.048554
220.957618,323,140575.079051
511.654845,1000,140578.449667
514.035662,1000,140581.656613
527.403135,1000,140585.145565
513.38215,1000,140588.444336
515.075219,1000,140591.906107
500.72116,1000,140595.218489
61.123942,107,140595.580802
565.239806,1000,140599.064827
574.006715,1000,140602.345079
519.085585,1000,140605.641444
501.840481,1000,140608.920204
469.035638,1000,140612.10261
92.935308,121,140612.486844
511.457007,1000,140615.702319
466.354771,1000,140619.087
486.564402,1000,140622.3285
508.868156,1000,140625.687088
92.72027,123,140626.089681
507.234373,1000,140629.448772
437.896092,1000,140632.829743
400.241897,1000,140636.069825
454.058815,1000,140639.500921
442.995328,1000,140642.751202
434.897776,1000,140646.148805
438.146717,1000,140649.517813
545.078413,1000,140652.88441
84.477384,112,140653.22877
543.642338,1000,140656.533116
513.952996,1000,140659.92676
112.213968,167,140660.446566
449.773163,1000,140663.801002
96.33734,105,140664.141
420.423278,1000,140667.575405
471.701946,1000,140670.850905
470.04071,1000,140674.216687
453.779893,1000,140677.547976
496.8742,1000,140681.032819
522.400982,1000,140684.32327
482.438084,1000,140687.508435
482.59793,1000,140690.613059
124.569744,182,140691.16563
448.366933,1000,140694.534111
538.041072,1000,140697.920814
510.708338,1000,140701.160413
510.205964,1000,140704.50127
516.294481,1000,140707.984928
523.728233,1000,140711.263272
107.810849,156,140711.768718
504.33204,1000,140715.151897
471.268648,1000,140718.381614
539.579287,1000,140721.830305
267.747816,541,140723.585887
518.526758,1000,140726.942076
461.518801,1000,140730.363398
447.434816,1000,140733.703148
522.43985,1000,140737.051412
414.642513,1000,140740.338065
482.54182,1000,140743.736232
497.728339,1000,140747.071056
337.212147,689,140749.415896
533.776787,1000,140752.669901
518.064438,1000,140756.099689
459.885252,1000,140759.18413
559.922918,1000,140762.408511
538.122904,1000,140765.594825
478.505055,1000,140768.97307
518.752835,1000,140772.008936
344.809224,581,140773.840635
528.014461,1000,140777.251863
537.526305,1000,140780.277566
448.054483,866,140783.28757
499.497313,1000,140786.507926
519.246302,1000,140789.853017
475.897685,1000,140793.230726
283.307987,570,140795.119618
460.654785,1000,140798.431793
479.412773,1000,140801.76301
464.417753,1000,140805.032706
507.484386,1000,140808.346337
488.58916,1000,140811.864314
602.516329,1000,140815.16404
477.091009,1000,140817.93803
481.08912,1000,140821.188047
424.499244,1000,140824.517987
480.792236,1000,140827.631915
489.834455,1000,140831.044511
470.24597,1000,140834.371971
459.683366,1000,140837.931373
417.647474,1000,140841.252251
592.336571,1000,140844.697022
446.89305,1000,140847.930881
469.024065,1000,140851.317595
428.307805,1000,140854.277488
414.466345,1000,140857.718985
462.558782,1000,140861.031913
411.762398,1000,140864.381716
475.456923,1000,140867.724255
479.197207,1000,140871.165289
477.904517,1000,140874.471028
428.645817,1000,140877.894883
482.33744,1000,140881.26632
467.177322,1000,140884.455091
447.912491,1000,140887.725953
470.181804,1000,140891.241624
480.108402,1000,140894.523465
417.553824,1000,140897.97252
474.721904,1000,140901.023177
436.717968,1000,140904.492773
499.890143,1000,140907.787477
411.533844,1000,140911.267603
422.659637,1000,140914.668757
96.132972,117,140915.073025
487.593493,1000,140918.552998
88.880637,123,140918.963609
354.111632,1000,140922.088917
505.130324,1000,140925.535863
113.913003,163,140926.097401
507.321362,1000,140929.446472
82.620023,164,140930.020434
579.005851,1000,140933.442455
494.891029,1000,140936.845681
411.99342,1000,140940.246175
497.101049,1000,140943.675642
92.931534,127,140944.08295
94.401479,178,140944.650568
483.694075,1000,140948.082817
97.348046,123,140948.481778
507.053543,1000,140951.795635
607.112408,1000,140955.137327
104.18167,122,140955.530327
450.882813,1000,140958.811328
453.456947,1000,140962.189445
91.951884,155,140962.68845
424.451141,1000,140966.153068
589.281385,1000,140969.473465
77.510554,133,140969.903513
495.009587,1000,140973.315966
502.66831,1000,140976.613807
396.844016,1000,140979.748661
454.2496,1000,140983.032286
486.259302,1000,140986.437523
457.690979,1000,140989.722553
413.381559,1000,140992.815781
78.8041,165,140993.335511
418.123445,1000,140996.635713
429.509289,1000,141000.013255
130.858942,185,141000.594222
498.760407,1000,141003.916526
488.739738,1000,141007.277736
454.343336,1000,141010.410143
503.909584,1000,141013.702807
545.519364,1000,141016.927117
412.551434,1000,141020.345084
490.147561,1000,141023.71566
399.918579,1000,141027.110692
536.255055,1000,141030.315547
483.76159,1000,141033.540676
644.040087,1000,141036.710068
411.88538,1000,141040.14727
657.595934,1000,141043.423928
514.537896,1000,141046.745898
521.342204,1000,141050.105649
569.177912,1000,141052.896155
415.843936,1000,141056.283883
463.366619,1000,141059.53335
502.408499,1000,141063.006619
633.235462,1000,141066.314987
103.387175,136,141066.789807
411.829116,1000,141070.180166
465.293207,1000,141073.358484
567.349769,1000,141076.803647
481.244274,1000,141080.168388
447.010782,1000,141083.589566
533.469242,1000,141086.801043
174.498425,452,141088.406115
464.715344,1000,141091.634155
407.529416,1000,141094.99637
483.287654,1000,141098.23039
395.753264,1000,141101.561894
402.809584,1000,141104.922768
442.114234,1000,141108.289827
453.000891,1000,141111.506127
420.831453,1000,141114.958904
433.304577,686,141117.226204
446.077193,1000,141120.507923
111.65224,180,141121.102634
441.143213,1000,141124.56757
507.717198,1000,141127.946817
488.063983,1000,141131.361456
490.947517,1000,141134.741405
497.589046,1000,141138.053018
484.717717,1000,141141.375183
531.857894,1000,141144.687941
578.549699,1000,141147.928266
485.454962,1000,141151.405256
605.111949,1000,141154.694186
607.101372,1000,141157.879643
504.043256,1000,141161.173271
498.713641,1000,141164.628079
617.15853,962,141167.690138
444.598377,1000,141170.975163
527.770194,1000,141174.291455
523.228546,1000,141177.656611
474.627362,1000,141180.951802
370.472848,704,141183.382979
532.22004,1000,141186.559958
129.012293,172,141187.09837
115.659008,124,141187.507366
525.704294,1000,141190.92952
467.192727,1000,141194.144268
500.973036,1000,141197.537967
111.98083,131,141197.957862
553.2309,1000,141201.23155
626.192819,1000,141204.627108
424.950598,1000,141207.949911
459.032658,1000,141211.298257
423.996151,1000,141214.583459
523.37204,1000,141218.039219
427.833571,1000,141221.247169
467.071074,1000,141224.403372
388.218216,1000,141227.791264
70.229031,129,141228.212342
536.363024,1000,141231.717772
454.946459,1000,141235.141015
129.12847,215,141235.86358
464.987355,1000,141239.341703
414.275432,1000,141242.432504
411.204598,1000,141245.779639
518.843007,1000,141249.134028
460.131128,1000,141252.512224
119.283916,160,141253.032702
448.511398,1000,141256.281387
506.267688,1000,141259.694636
427.403032,1000,141262.951624
112.681004,150,141263.463509
444.360645,1000,141266.81633
455.117002,1000,141269.909205
369.170768,1000,141273.267431
485.149428,1000,141276.581396
450.016808,1000,141279.948591
564.076565,1000,141283.252559
85.280654,114,141283.610732
281.91336,607,141285.649139
457.994014,1000,141288.990242
426.356875,1000,141292.22194
429.400612,1000,141295.400831
515.758102,1000,141298.871343
208.827691,356,141299.940481
456.736392,1000,141302.939172
82.731033,121,141303.33116
460.956571,1000,141306.757466
449.83993,1000,141310.011733
478.467056,1000,141313.419756
531.902994,1000,141316.712466
524.61607,1000,141320.156251
515.606708,1000,141323.379942
445.70412,1000,141326.656464
494.782795,1000,141329.839474
85.669879,137,141330.274043
482.945589,1000,141333.732137
489.978355,1000,141336.925269
507.906633,1000,141340.351425
92.549433,125,141340.733493
245.322855,504,141342.355913
196.002556,373,141343.54254
79.688902,135,141343.962209
494.68724,1000,141347.363827
530.443224,1000,141350.625725
111.208869,154,141351.127783
546.586827,1000,141354.583382
90.236188,113,141354.938466
569.330217,1000,141357.981642
153.485807,246,141358.816352
534.394736,1000,141362.228916
98.899136,142,141362.728291
494.388485,1000,141366.183924
416.841545,841,141368.990247
540.660546,1000,141372.166671
439.173235,1000,141375.596719
126.050107,198,141376.24872
496.339807,1000,141379.605367
567.163562,1000,141382.726696
426.580329,1000,141385.9502
370.059947,838,141388.89649
505.688899,1000,141392.116589
496.428134,1000,141395.590954
80.11616,106,141395.931996
564.534416,1000,141399.115689
547.637118,1000,141402.310591
435.818809,1000,141405.638017
453.298894,1000,141409.038804
413.114254,1000,141412.274461
457.991284,1000,141415.766246
377.227338,1000,141419.076645
496.017481,1000,141422.367795
495.273164,1000,141425.563754
444.287887,1000,141428.992994
496.420125,1000,141432.128782
629.950688,1000,141435.398358
507.071356,1000,141438.753518
84.133731,168,141439.295079
94.961491,128,141439.728449
