eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,724.96480507,210,0.00656427,0.08581543,4.3141284,5.1894924e-05,18.418135,0.7973308712244034,7120,14581760,66896.18094005802,14581760
1000.0,727.9571973800001,217,0.015627753,0.21887207,4.330242,0.002748046,20.304781,0.7214803397655487,7140,14622720,67083.813196462,14622720
1000.0,735.60179371,218,0.01196185,0.16687012,4.314633,0.002063741,18.157295,0.7208288908004761,7160,14663680,67271.154988422,14663680
1000.0,736.38930189,217,0.021687867,0.2647705,4.3186736,-0.00043202512,13.983297,0.7727939784526825,7180,14704640,67458.72268452,14704640
1000.0,749.4867631899999,216,0.026739787,0.30932617,4.278542,0.004993641,20.358196,0.47997307777404785,7200,14745600,67646.33626643202,14745600
1000.0,753.6572579900001,216,0.010423506,0.14123535,4.243333,0.0021594707,16.612211,0.856113851070404,7220,14786560,67834.02095850499,14786560
1000.0,747.28197123,217,0.025026552,0.2911377,4.2230825,0.0023396052,20.237028,0.6308815777301788,7240,14827520,68021.72680575901,14827520
1000.0,731.7378730300001,217,0.014075579,0.19140625,4.2042236,0.0015427801,20.611336,0.47285211086273193,7260,14868480,68209.59029990004,14868480
1000.0,715.97645511,218,0.022818303,0.29162598,4.2290606,0.0004028637,13.660426,0.8558296859264374,7280,14909440,68397.19780827803,14909440
1000.0,714.3378236399999,218,0.026060842,0.29760742,4.2432647,0.004432989,20.895657,0.33559101819992065,7300,14950400,68585.17007652804,14950400
1000.0,714.4143022599998,218,0.02398397,0.29052734,4.2517557,0.0052755782,15.965269,0.7457171380519867,7320,14991360,68772.753010999,14991360
1000.0,729.6385563200002,218,0.00872014,0.119506836,4.2598906,0.002435539,26.294195,0.12935876846313477,7340,15032320,68960.58397146902,15032320
1000.0,750.7249853000001,218,0.016447423,0.2298584,4.3023915,0.0037865045,21.972235,0.5746020674705505,7360,15073280,69148.489238329,15073280
1000.0,730.48567275,218,0.023280095,0.2738037,4.294598,0.00587811,25.499565,0.5212210714817047,7380,15114240,69336.57539818599,15114240
1000.0,694.4550282600001,217,0.032281384,0.3338623,4.2769256,0.010121916,20.608541,0.24305027723312378,7400,15155200,69525.042430403,15155200
1000.0,698.7820366100002,218,0.016758021,0.23522949,4.265946,0.0014871722,23.1152,0.27382099628448486,7420,15196160,69712.89000125503,15196160
1000.0,720.8633806400001,217,0.021282703,0.27697754,4.2619605,0.008325824,11.1702385,0.894081637263298,7440,15237120,69900.77473577904,15237120
1000.0,728.69183527,218,0.013117539,0.1730957,4.258835,0.0041268864,14.388124,0.8711088597774506,7460,15278080,70088.61054707103,15278080
1000.0,709.26282193,217,0.012542347,0.18652344,4.286853,0.0012436509,17.674387,0.760782465338707,7480,15319040,70276.42885786103,15319040
999.39,690.0730866599998,218,0.010009504,0.1430664,4.2418804,-0.00071963086,17.164642,0.46352553367614746,7500,15360000,70464.16805786901,15360000
999.39,666.2917830700001,217,0.012393386,0.18188477,4.268596,-0.0014567215,16.9276,0.3562861680984497,7520,15400960,70652.372582927,15400960
999.39,643.40467823,219,0.014306287,0.20031738,4.269651,0.001787001,17.045288,0.39141368865966797,7540,15441920,70840.07610382099,15441920
1000.0,636.88301775,217,0.013970806,0.21154785,4.244228,0.0011426297,12.059341,0.5770674049854279,7560,15482880,71027.917015629,15482880
1000.0,627.59546224,218,0.015267691,0.20825195,4.260893,0.0050706854,16.493328,0.284464955329895,7580,15523840,71215.60118338,15523840
1000.0,639.9590544600001,217,0.026174823,0.30029297,4.233799,0.0068166424,19.049257,0.24386823177337646,7600,15564800,71403.20955394703,15564800
1000.0,649.6837334,218,0.01990757,0.25427246,4.224319,0.007003422,15.769166,0.6224528551101685,7620,15605760,71590.676430177,15605760
1000.0,659.4535272299998,218,0.012816114,0.18237305,4.2064714,0.00057062285,20.990068,0.4102051258087158,7640,15646720,71778.298706414,15646720
1000.0,678.1784078699999,217,0.014611157,0.21386719,4.1919193,0.00051025127,12.492935,0.7909832298755646,7660,15687680,71966.38117257401,15687680
1000.0,695.1777704700002,217,0.014464604,0.17199707,4.220196,0.000894398,8.016005,0.9291161075234413,7680,15728640,72154.02059738198,15728640
1000.0,697.41778694,218,0.022322727,0.26428223,4.192627,0.006216986,17.03907,0.6326382160186768,7700,15769600,72341.61122742703,15769600
1000.0,705.8981887300001,218,0.017966159,0.234375,4.203122,0.0056934897,12.199783,0.8341904729604721,7720,15810560,72529.38097985799,15810560
1000.0,711.6040837200001,218,0.006540402,0.08081055,4.191101,0.000308362,15.214311,0.6228310465812683,7740,15851520,72717.31239119102,15851520
1000.0,729.85519143,217,0.009074697,0.13232422,4.2391653,0.0031972895,19.978271,0.3532756567001343,7760,15892480,72905.27076196903,15892480
1000.0,736.7502586899999,217,0.044876322,0.3840332,4.2434626,0.0055702874,16.360489,0.6274691820144653,7780,15933440,73093.06990418799,15933440
1000.0,769.42355432,217,0.022460703,0.27319336,4.2306423,0.01092266,12.038086,0.8495826572179794,7800,15974400,73280.774998335,15974400
1000.0,782.2674670200001,218,0.011485323,0.17578125,4.2032437,0.0010854519,28.643955,0.2447461485862732,7820,16015360,73468.32705742103,16015360
990.06,772.0287244899998,216,0.017535351,0.21142578,4.179709,0.002955175,31.532272,0.757529079914093,7840,16056320,73656.56782186299,16056320
990.06,780.7375241,217,0.009249372,0.13085938,4.147702,0.002025176,27.602,0.17069196701049805,7860,16097280,73844.65692661202,16097280
994.19,777.61180085,218,0.012569701,0.17956543,4.165638,0.000623155,20.381893,0.42481541633605957,7880,16138240,74032.081874947,16138240
1000.0,775.0156356,216,0.009742425,0.13598633,4.159527,3.2839365e-05,22.716429,0.6748196482658386,7900,16179200,74219.91381024104,16179200
1000.0,769.3074026400002,217,0.022650871,0.29162598,4.1867547,0.0038578396,20.20711,0.45674949884414673,7920,16220160,74407.770435708,16220160
1000.0,784.1733245599999,217,0.021180797,0.26586914,4.185958,0.009193189,23.97396,0.21408319473266602,7940,16261120,74595.62940064399,16261120
1000.0,788.6724446200001,216,0.031995688,0.36791992,4.213287,0.006204759,20.612555,0.5758395195007324,7960,16302080,74783.36763045704,16302080
1000.0,790.75072178,217,0.016591638,0.23095703,4.2150664,0.0027145958,22.399746,0.4661181569099426,7980,16343040,74971.23757872201,16343040
1000.0,787.8688661399999,217,0.03338861,0.37219238,4.164931,0.007955234,26.751707,0.18494445085525513,8000,16384000,75158.94333157298,16384000
1000.0,763.1959280900003,217,0.0232703,0.29016113,4.162732,0.0075823627,21.265064,0.7458560466766357,8020,16424960,75346.59019697603,16424960
1000.0,728.3544272300003,219,0.01848494,0.25012207,4.184944,0.008037979,24.22752,0.6183333694934845,8040,16465920,75534.69975040003,16465920
1000.0,691.85126718,218,0.018091083,0.258667,4.20549,-0.00012819248,19.899208,0.6934615671634674,8060,16506880,75722.79982923903,16506880
1000.0,685.6792063300002,217,0.01498722,0.19421387,4.20567,0.005677436,23.205408,0.15036088228225708,8080,16547840,75910.65186917904,16547840
1000.0,705.0512279400001,216,0.014865007,0.2055664,4.1998982,-0.0006181458,19.729902,0.2955353260040283,8100,16588800,76098.45158007403,16588800
1000.0,721.2316447599998,218,0.019520013,0.272583,4.237146,0.0020835805,19.893362,0.2792247533798218,8120,16629760,76286.166975322,16629760
1000.0,716.3325041199998,215,0.035343636,0.37854004,4.2382,0.013656814,13.228087,0.84702567756176,8140,16670720,76474.10816983401,16670720
1000.0,702.4715429299999,217,0.018138597,0.23901367,4.2228837,0.008478135,19.287762,0.5845541954040527,8160,16711680,76662.35495476302,16711680
1000.0,689.78576348,218,0.016640348,0.2241211,4.2256575,0.0034945852,20.809553,0.3264254927635193,8180,16752640,76850.13473229902,16752640
