# {"t_start": 1574707751.4640615, "env_id": "AntBulletEnv-v0"} 
r,l,t
732.108285,1000,38745.170002
773.646366,1000,38749.667436
753.65672,1000,38754.389649
741.431376,1000,38758.869459
753.062581,1000,38763.569296
725.870416,1000,38767.992715
706.791949,1000,38772.67949
643.947783,1000,38777.157332
706.81314,1000,38781.832467
621.26349,1000,38786.332102
668.694288,1000,38791.020668
693.091845,1000,38795.511253
744.47595,1000,38800.215781
723.027157,1000,38804.68543
714.826184,1000,38809.410285
686.128709,1000,38813.904546
718.209384,1000,38818.575234
797.961046,1000,38823.070081
752.69864,1000,38827.770875
748.996444,1000,38832.20272
757.449354,1000,38836.889337
724.246325,1000,38841.469959
749.145288,1000,38846.163302
783.239746,1000,38850.649079
718.658333,1000,38855.304938
627.945543,1000,38859.774927
713.832303,1000,38864.447754
798.841135,1000,38868.918125
726.099206,1000,38873.605656
728.747538,1000,38878.080665
639.689482,1000,38882.558025
772.968483,1000,38887.188209
834.312606,1000,38891.65936
810.149865,1000,38896.317561
758.850331,1000,38900.825274
803.961174,1000,38905.498508
681.943106,1000,38909.965575
750.259217,1000,38914.635639
802.331662,1000,38919.124941
755.245859,1000,38923.821377
763.519248,1000,38928.287415
784.922561,1000,38932.99872
766.258145,1000,38937.486602
786.465948,1000,38942.175004
775.525754,1000,38946.65431
773.777998,1000,38951.307297
772.591772,1000,38955.75466
639.132503,1000,38960.433616
781.569713,1000,38964.914212
813.838704,1000,38969.577244
759.315016,1000,38974.075467
644.384715,1000,38978.77563
816.117001,1000,38983.260609
803.161348,1000,38987.949947
810.143951,1000,38992.459101
779.53716,1000,38997.14216
768.671308,1000,39001.631845
615.876002,1000,39006.316263
762.925856,1000,39010.771069
766.42959,1000,39015.46486
504.314701,1000,39019.926665
802.808317,1000,39024.628195
813.770762,1000,39029.114194
743.105314,1000,39033.812992
741.485247,1000,39038.343159
785.203666,1000,39043.053872
821.783755,1000,39047.53588
805.796479,1000,39052.239635
770.021961,1000,39056.711488
714.078396,1000,39061.399194
704.936261,1000,39065.873938
730.839657,1000,39070.574658
761.568904,1000,39075.068818
734.925234,1000,39079.584018
762.304779,1000,39084.25772
712.507419,1000,39088.717253
784.803801,1000,39093.406277
733.061851,1000,39097.91857
734.724595,1000,39102.575588
729.728052,1000,39107.058619
727.577335,1000,39111.7167
754.29133,1000,39116.214283
806.173771,1000,39120.911382
758.422844,1000,39125.430857
787.503502,1000,39130.117625
782.478191,1000,39134.612947
714.82044,1000,39139.284073
765.61764,1000,39143.771738
755.029637,1000,39148.441461
785.164246,1000,39152.959311
823.193099,1000,39157.593145
779.938981,1000,39162.065818
754.314497,1000,39166.719464
858.460979,1000,39171.191868
537.739792,1000,39175.854218
706.119143,1000,39180.338327
813.071272,1000,39184.988387
828.886392,1000,39189.500092
751.333986,1000,39194.160032
739.848397,1000,39198.656463
595.548071,1000,39203.350795
625.408881,1000,39207.877745
637.240981,1000,39212.549734
741.845572,1000,39217.046133
819.850027,1000,39221.727483
813.742854,1000,39226.22857
739.647635,1000,39230.872111
812.097278,1000,39235.330033
681.876498,1000,39240.011061
835.018343,1000,39244.524152
821.09949,1000,39249.172759
842.723185,1000,39253.696436
882.307944,1000,39258.336375
630.891216,1000,39262.841544
868.349258,1000,39267.475527
808.443063,1000,39271.978816
689.870902,1000,39276.439226
521.15602,1000,39281.10967
608.834492,1000,39285.588544
571.546718,1000,39290.273488
612.642022,1000,39294.748543
737.614291,1000,39299.449952
777.701538,1000,39303.913532
615.36854,1000,39308.572672
753.739175,1000,39313.069923
579.12518,1000,39317.758697
754.556674,1000,39322.202676
701.545929,1000,39326.895006
812.1974,1000,39331.360466
826.23073,1000,39336.045983
841.884701,1000,39340.49829
788.295229,1000,39345.193936
823.563803,1000,39349.670139
791.427357,1000,39354.345896
819.605953,1000,39358.847176
865.720745,1000,39363.57206
640.510209,1000,39368.057511
772.691887,1000,39372.767072
811.63024,1000,39377.255891
760.925531,1000,39381.903952
798.774492,1000,39386.379247
789.361841,1000,39391.103815
824.851559,1000,39395.558602
809.778779,1000,39400.296743
743.864673,1000,39404.802032
817.513565,1000,39409.481357
817.506712,1000,39413.958286
804.328831,1000,39418.660626
805.743894,1000,39423.15571
812.539556,1000,39427.856279
533.516795,1000,39432.32988
732.703453,1000,39437.006968
642.609934,1000,39441.513727
800.804626,1000,39446.204208
831.467051,1000,39450.679152
805.061984,1000,39455.357029
834.012301,1000,39459.866296
825.01032,1000,39464.558949
674.221899,1000,39469.066472
692.110035,1000,39473.559214
659.0147,1000,39478.252167
778.591237,1000,39482.705436
849.109691,1000,39487.399579
745.805985,1000,39491.909928
745.400571,1000,39496.574083
848.041414,1000,39501.062669
786.52078,1000,39505.741387
813.695891,1000,39510.239171
838.51866,1000,39514.96003
835.245982,1000,39519.436456
834.854823,1000,39524.083239
826.988415,1000,39528.560172
601.751855,1000,39533.211684
809.046247,1000,39537.69944
745.24038,1000,39542.388223
826.485858,1000,39546.891047
815.305306,1000,39551.584084
789.381713,1000,39556.092633
805.382238,1000,39560.78325
777.648472,1000,39565.276257
786.265723,1000,39569.996709
772.627759,1000,39574.464936
799.678296,1000,39579.198771
788.912858,1000,39583.71001
775.189759,1000,39588.416047
777.622297,1000,39592.922089
757.263938,1000,39597.630308
795.919336,1000,39602.119762
798.763832,1000,39606.844139
789.203588,1000,39611.332535
768.943243,1000,39616.045771
703.879887,1000,39620.542861
806.66737,1000,39625.227746
799.917383,1000,39629.734629
733.652343,1000,39634.436492
783.968816,1000,39638.90027
746.529108,1000,39643.5603
785.410428,1000,39648.040582
750.188666,1000,39652.740036
736.227178,1000,39657.232699
750.882916,1000,39661.728456
759.146803,1000,39666.350461
768.439742,1000,39670.878086
766.795824,1000,39675.532744
782.79844,1000,39680.051495
749.556467,1000,39684.739404
804.928629,1000,39689.247681
731.172676,1000,39693.945831
803.788457,1000,39698.476235
781.876714,1000,39703.125856
744.937034,1000,39707.629733
738.908674,1000,39712.305036
724.1492,1000,39716.801046
704.671975,1000,39721.457872
714.973433,1000,39725.960132
781.697882,1000,39730.619341
739.867148,1000,39735.126383
784.045396,1000,39739.786723
808.03331,1000,39744.279164
755.419705,1000,39748.922832
754.506699,1000,39753.434188
809.392195,1000,39758.103963
739.587383,1000,39762.587329
583.731101,1000,39767.257416
757.933615,1000,39771.770062
619.084503,1000,39776.456062
766.85322,1000,39780.944099
717.201267,1000,39785.625758
779.272215,1000,39790.125621
802.810146,1000,39794.817801
730.373739,1000,39799.336807
505.332494,1000,39804.044442
572.566302,1000,39808.545304
