# {"t_start": 1575660103.3593931, "env_id": "AntBulletEnv-v0"} 
r,l,t
1171.904512,1000,29135.202233
1063.398496,1000,29140.243013
1114.317871,1000,29144.82979
1039.286379,1000,29149.269861
1116.758067,1000,29153.952543
1055.370113,1000,29158.833736
1042.466028,1000,29163.452878
1177.766543,1000,29168.410856
1147.263298,1000,29173.140298
1136.627442,1000,29176.350141
1016.881143,1000,29182.241545
989.789045,1000,29187.416218
1166.351977,1000,29192.734938
1201.756869,1000,29197.992262
791.267262,1000,29202.96689
933.803048,1000,29207.831064
1224.281198,1000,29212.68049
1201.710405,1000,29217.630176
1211.56619,1000,29222.67491
1071.624495,1000,29227.752141
1218.50303,1000,29232.597775
1162.74516,1000,29237.544581
1088.467376,1000,29242.49399
1126.852376,1000,29247.53605
1080.366251,1000,29252.355838
1210.60445,1000,29257.623951
1090.177647,1000,29262.378778
1105.994396,1000,29267.454198
1039.925448,1000,29272.284494
1149.589413,1000,29277.686625
937.121067,1000,29282.78468
856.620285,1000,29287.777146
895.376961,1000,29292.9109
1275.844177,1000,29297.867012
1210.011716,1000,29302.86291
1271.591701,1000,29307.578997
1071.28163,1000,29312.670893
1257.876067,1000,29317.632883
1329.229194,1000,29322.510881
1208.629065,1000,29327.442398
1096.285665,1000,29332.790835
987.343326,1000,29337.731041
890.743418,1000,29342.762892
878.88322,1000,29347.664143
1006.920563,1000,29352.702981
1182.65576,1000,29357.60299
1169.874569,1000,29363.057463
1097.123492,1000,29368.098866
1245.566385,1000,29373.339086
1061.203807,1000,29377.446644
1018.527289,1000,29382.34372
1284.251773,1000,29387.06305
1219.882201,1000,29392.139207
1285.163602,1000,29396.889359
1144.877427,1000,29400.051165
1120.509502,1000,29405.112062
1345.247775,1000,29410.154516
971.479837,1000,29414.982445
1112.955401,1000,29419.981512
1159.832809,1000,29424.88834
1261.16185,1000,29429.568357
969.676503,1000,29434.076942
996.773205,1000,29439.346237
799.790796,1000,29444.278971
925.152512,1000,29449.479194
1061.688425,1000,29454.254555
847.85471,1000,29459.122962
796.191907,1000,29463.863249
790.943798,1000,29468.826006
931.776549,1000,29473.725259
958.958475,1000,29478.675159
1108.959605,1000,29483.278294
1185.30579,1000,29488.246188
828.164289,1000,29492.920959
922.734982,1000,29497.570895
1045.666767,1000,29502.558942
754.562719,1000,29507.156632
891.273438,1000,29511.995956
1214.813775,1000,29516.974917
876.208929,1000,29521.934494
884.528512,1000,29526.438934
841.766792,1000,29531.313361
1224.375154,1000,29536.055665
859.493968,1000,29541.063425
1036.475284,1000,29545.532545
941.501503,1000,29550.330579
867.042779,1000,29555.152941
960.365028,1000,29559.680101
1049.811175,1000,29564.261945
1189.751599,1000,29569.473645
921.901071,1000,29574.153811
1013.986443,1000,29578.966475
1069.917609,1000,29583.679259
1065.716618,1000,29588.731515
1026.597538,1000,29593.570958
926.141692,1000,29598.554868
1107.054436,1000,29603.170768
919.15357,1000,29607.875146
1096.26488,1000,29612.734904
1128.844268,1000,29617.360421
1180.828999,1000,29621.770925
824.85468,1000,29626.581117
938.355927,1000,29631.221934
1143.417416,1000,29636.216695
1077.270238,1000,29640.963095
1056.216533,1000,29645.838939
1060.098488,1000,29648.711488
918.440811,1000,29654.979048
1076.71104,1000,29660.112181
1082.027696,1000,29665.270967
935.88775,1000,29670.250926
865.999642,1000,29675.521852
1002.788887,1000,29680.467629
975.928422,1000,29685.542034
911.377691,1000,29690.795448
1025.667118,1000,29695.978943
1345.835956,1000,29700.870916
1063.350553,1000,29705.618886
1040.967512,1000,29710.318609
1239.123187,1000,29715.127056
885.429535,1000,29720.057045
876.935828,1000,29725.143042
796.042302,1000,29730.249254
1211.328979,1000,29735.084352
1106.726916,1000,29740.395185
836.648061,1000,29745.076276
961.327124,1000,29750.106567
1166.111,1000,29755.078942
1081.400279,1000,29760.249214
1005.546146,1000,29765.150963
1034.862804,1000,29770.342863
851.255934,1000,29775.247223
1229.92572,1000,29780.630899
1132.530823,1000,29785.574772
788.865084,1000,29790.668692
1124.170417,1000,29795.335758
1093.84856,1000,29800.482929
796.069538,1000,29805.279369
990.422151,1000,29810.500207
916.097932,1000,29815.32128
729.873482,1000,29820.539904
1031.689848,1000,29825.670609
1181.566423,1000,29830.923604
1033.069073,1000,29835.669425
924.368037,1000,29840.64657
1013.000394,1000,29845.319256
958.78007,1000,29849.37396
945.733758,1000,29854.338281
1040.428126,1000,29859.50963
1083.22495,1000,29864.330337
1126.326683,1000,29869.174871
932.769895,1000,29873.040565
955.633657,1000,29877.306911
777.252609,1000,29882.481264
873.808941,1000,29887.51451
800.593849,1000,29892.291221
912.79648,1000,29897.513268
1049.289072,1000,29902.146631
990.11593,1000,29906.941589
1049.106226,1000,29911.585546
1018.141169,1000,29916.457774
765.674927,1000,29921.467095
871.414672,1000,29926.031807
939.902663,1000,29930.91908
924.444651,1000,29935.418897
929.182792,1000,29940.217947
991.290553,1000,29944.904009
860.071738,1000,29949.557584
977.156195,1000,29954.438959
960.341146,1000,29959.123013
724.870549,1000,29963.902996
863.779957,1000,29968.846979
748.716847,1000,29973.574945
751.520224,1000,29978.334405
948.195525,1000,29983.174145
1086.798923,1000,29987.98459
804.118148,1000,29992.654962
764.507192,1000,29997.573572
820.927689,1000,30002.3183
826.716812,1000,30007.120028
913.851602,1000,30011.707026
801.712809,1000,30016.308205
796.521321,1000,30020.883966
922.553161,1000,30025.882886
965.757585,1000,30030.52686
1134.301856,1000,30035.477021
746.073399,1000,30040.220227
886.256663,1000,30045.434973
797.252035,1000,30050.147464
1188.977629,1000,30054.841406
1195.368336,1000,30059.515816
773.134618,1000,30064.394819
995.798292,1000,30068.788737
959.320935,1000,30073.667392
1096.456148,1000,30078.094998
1031.513449,1000,30082.690943
895.564395,1000,30086.94853
1078.226245,1000,30092.030731
990.838486,1000,30096.179042
895.82417,1000,30101.387546
1079.756504,1000,30106.138311
993.26041,1000,30110.842991
790.483621,1000,30115.615421
966.248966,1000,30120.319713
811.431287,1000,30125.130825
1203.40453,1000,30128.422891
934.045501,1000,30134.07606
1116.75851,1000,30139.088346
793.748889,1000,30144.4525
845.971499,1000,30149.931021
817.061493,1000,30155.12171
1150.541791,1000,30160.081741
783.138826,1000,30165.198931
1020.554825,1000,30170.239693
828.02258,1000,30175.458952
833.219568,1000,30180.481889
1001.340997,1000,30185.506866
995.210583,1000,30190.25952
743.995577,1000,30195.620927
948.526955,1000,30200.415108
1272.922344,1000,30205.39498
755.346726,1000,30210.28697
789.184112,1000,30215.34584
744.114387,1000,30220.334412
755.140568,1000,30225.587433
1124.652416,1000,30230.76339
1221.356658,1000,30236.224774
837.966913,1000,30241.232477
946.731934,1000,30246.335031
898.355224,1000,30251.138661
1110.810861,1000,30256.236005
933.759388,1000,30261.301753
1013.732231,1000,30266.331234
936.815514,1000,30271.398823
825.225808,1000,30276.811093
1119.240386,1000,30281.685073
1049.39254,1000,30286.57495
913.949276,1000,30291.455164
802.33675,1000,30296.52349
1081.713878,1000,30301.81493
981.253049,1000,30306.896014
770.414336,1000,30311.942295
951.239186,1000,30316.924156
891.299895,1000,30322.058947
934.285088,1000,30327.002868
895.906027,1000,30330.807038
1024.018331,1000,30335.806121
950.438371,1000,30341.124649
1131.414051,1000,30345.956827
1128.244207,1000,30350.935565
840.607966,1000,30354.171853
796.777367,1000,30358.794942
975.545552,1000,30363.867128
969.117187,1000,30368.97491
1003.668539,1000,30373.843001
769.000086,1000,30378.65719
864.025741,1000,30383.133534
912.982308,1000,30387.576748
1078.174944,1000,30392.339007
800.076219,1000,30397.419085
978.664542,1000,30402.454029
860.670903,1000,30407.418338
831.128574,1000,30412.314763
764.855604,1000,30417.274994
779.074279,1000,30421.818933
747.407547,1000,30426.698908
990.002432,1000,30431.292708
956.385722,1000,30436.008099
1013.094363,1000,30440.66694
1058.223606,1000,30445.446923
824.658107,1000,30450.165431
983.217739,1000,30455.198861
713.213681,1000,30460.017372
